Answer,Person,Specific Type,General Type
montserrat,0,,
walter_benjamin,1,Philosopher,
obesity,0,,
night_of_the_long_knives,0,,
rosenhan_experiment,0,,
the_watchtower,0,,
oxford_movement,0,,
nagarjuna,1,Philosopher,
holy_prepuce,0,,
skylab,0,,
gran_chaco,0,,
stanley_fish,1,Professor,
aaron_burr,1,US Vice President,"government,us vice president"
guan_yu,1,Deity,"religion,deity"
bromine,0,,
nixon_in_china_(opera),0,,
ghent,0,,
love_in_the_time_of_cholera,0,,
shabbat,0,,
biodiversity,0,,
capital_(economics),0,,
mount_kosciuszko,0,,
john_singleton_copley,1,Painting Artist,
golden_horde,0,,
laffer_curve,0,,
hittites,0,,
thiamine,0,,
dhimmi,0,,
strabo,1,Author,"book,author"
anaphase,0,,
guru_gobind_singh,1,Founding Figure,"religion,founding figure"
journey_to_the_west,0,,
te_deum_laudamus_(sullivan),0,,
essequibo_river,0,,
politics_(aristotle),0,,
contact_process,0,,
volpone,0,,
sinners_in_the_hands_of_an_angry_god,0,,
pepsin,0,,
the_swimming_hole,0,,
nitrile,0,,
antichrist,0,,
battle_of_midway,0,,
symphony_no._8_(mahler),0,,
la_gioconda_(opera),0,,
gene_knockout,0,,
hydrolysis,0,,
aniline,0,,
large_intestine,0,,
operant_conditioning,0,,
henry_james,1,Novelist,
moons_of_uranus,0,,
the_third_man,0,,
trumpet,0,,
cloud_seeding,0,,
pierre_trudeau,1,Politician,"government,politician"
the_four_seasons_(poussin),0,,
plato,1,Philosopher,
julius_nyerere,1,Politician,"government,politician"
kenneth_waltz,1,Philosopher,
ode_to_a_nightingale,0,,
meiosis,1,Musical Artist,"music,artist"
robert_herrick_(poet),1,Author,"book,author"
danse_macabre,0,,
old_church_slavonic,0,,
tomato,0,,
suleiman_the_magnificent,1,Politician,
sukkot,0,,
war_of_devolution,0,,
daniel_boone,1,Military Commander,"military,military commander"
houston,0,,
antelope,0,,
liquid_crystal,1,Musical Artist,"music,artist"
mahabharata,0,,
rosa_luxemburg,1,Philosopher,
zeus_(dc_comics),0,,
triassic,0,,
brahma,0,,
thomas_hart_benton_(politician),1,U.S. Congressperson,"government,u s congressperson"
billiards_at_half-past_nine,0,,
battle_of_the_coral_sea,0,,
tezcatlipoca,0,,
tritium,0,,
optical_aberration,0,,
conch_republic,0,,
aspartic_acid,0,,
alkene,0,,
hainan,0,,
romer_v._evans,0,,
triple-alpha_process,0,,
carnot_cycle,0,,
math_fab_mathonwy,0,,
genetic_recombination,0,,
truth,0,,
cinema_novo,0,,
durga,0,,
the_marriage_of_figaro,0,,
potts_model,0,,
ionosphere,1,Musical Group,"music,musical group"
diagnostic_and_statistical_manual_of_mental_disorders,0,,
ivan_pavlov,1,Psychologist,
northern_territory,0,,
hofmann_elimination,0,,
warren_jeffs,1,Organization leader,"business,board member"
theodore_dreiser,1,Novelist,
thomas_gray,1,Historian,
ludwig_mies_van_der_rohe,1,Organization leader,"business,board member"
green_river_(colorado_river),0,,
hermann_ebbinghaus,1,Psychologist,
gibbs_free_energy,0,,
whiskey_ring,0,,
george_wald,1,Academic,"education,academic"
satyajit_ray,1,Film director,"film,director"
polynices,0,,
gawain,0,,
robert_h._dicke,1,Physicist,
pierre-joseph_proudhon,1,Philosopher,
the_charterhouse_of_parma,0,,
david,1,Religious Leader,"religion,religious leader"
dream_a_little_dream_of_me,0,,
john_maynard_keynes,1,Economist,
william_cullen_bryant,1,Writer,
diethyl_ether,0,,
muhammad,1,Military Commander,"military,military commander"
lolita,1,Musical Artist,"music,artist"
shays'_rebellion,0,,
systems_of_consanguinity_and_affinity_of_the_human_family,0,,
henry_miller,1,Novelist,
fatimid_caliphate,0,,
gunpowder_plot,0,,
stomach,0,,
astronomical_unit,0,,
samuel_gompers,1,Organization founder,"organization,organization founder"
argos,0,,
argon,0,,
crime_and_punishment,0,,
the_undertaker,1,Wrestler,
fallingwater,0,,
evidence_(law),0,,
steel,0,,
teutonic_knights,0,,
restriction_enzyme,0,,
le_chatelier's_principle,0,,
susanoo,0,,
vanity_fair_(novel),0,,
pellinore,0,,
john_ashbery,1,Novelist,
platypus,0,,
mitochondrion,0,,
edward_weston,1,Visual Artist,"visual art,visual artist"
cell_nucleus,0,,
hamiltonian_mechanics,0,,
bassoon,0,,
on_the_genealogy_of_morality,0,,
ganges,0,,
hill_sphere,0,,
the_calling_of_st_matthew_(caravaggio),0,,
sirius,0,,
grammatical_aspect,0,,
eucharist,0,,
cell_wall,0,,
flagellation,0,,
cloud_chamber,0,,
radiation_pressure,0,,
seminole_wars,0,,
john_bardeen,1,Physicist,
dharma_(buddhism),0,,
wolfgang_amadeus_mozart,1,Violist,
ampere,0,,
painting,0,,
constitution_of_japan,0,,
diels-alder_reaction,0,,
cp_violation,0,,
kalahari_desert,0,,
adenylate_cyclase,0,,
inductor,0,,
william_tell_(opera),0,,
georges_seurat,1,Painting Artist,
twelfth_night,0,,
spliceosome,0,,
proper_motion,0,,
treaty_of_ghent,0,,
technetium,0,,
the_tales_of_hoffmann,0,,
impeachment,0,,
long_day's_journey_into_night,0,,
lake_pontchartrain,0,,
luminosity,0,,
dada,0,,
the_essence_of_christianity,0,,
hosea,1,Prophet,
giovanni_bellini,1,Painting Artist,
quantum_harmonic_oscillator,0,,
lysozyme,0,,
anomie,0,,
saint_basil's_cathedral,0,,
mary_wollstonecraft,1,Philosopher,
legalism_(chinese_philosophy),0,,
carboniferous,0,,
antonio_canova,1,Visual Artist,"visual art,visual artist"
wolfgang_pauli,1,Physicist,
dualism_(philosophy_of_mind),0,,
methionine,0,,
trilobite,0,,
darius_milhaud,1,Composer,"music,composer"
fluid_mechanics,0,,
sergei_prokofiev,1,20th century classical Artist,
suryavarman_ii,1,Monarch,"royalty,monarch"
aimee_semple_mcpherson,1,Evangelist,
luddite,0,,
rama,0,,
categorical_imperative,0,,
gran_plot,0,,
carbonyl,0,,
a_connecticut_yankee_in_king_arthur's_court,0,,
ukko,0,,
castor_et_pollux,0,,
mabinogion,0,,
state_of_franklin,0,,
coral_sea_islands,0,,
titan_(moon),0,,
louisiana,0,,
meningitis,0,,
altruism,0,,
tokugawa_ieyasu,1,Warlord,
laser,0,,
pierre_gassendi,1,Philosopher,
zion_national_park,0,,
aesthetics,0,,
atlas_shrugged,0,,
catalan_number,0,,
van_der_waals_force,0,,
manon_lescaut_(puccini),0,,
antigone_(sophocles),0,,
grande_odalisque,0,,
the_raven,0,,
rachel,0,,
perspective_(graphical),0,,
catch_22,0,,
bali,0,,
grover_cleveland,1,US President,"government,us president"
tristan_da_cunha,0,,
the_ambassadors,0,,
london_equations,0,,
dinah,0,,
great_expectations_(1946_film),0,,
max_stirner,1,Philosopher,
sperm_whale,0,,
neorealism_(international_relations),0,,
casparian_strip,0,,
wabash_river,0,,
henry_morton_stanley,1,Explorer,
igor_stravinsky,1,Composer,"music,composer"
futurama,0,,
nicodemus,1,Person Or Being In Fiction,"fictional universe,person in fiction"
axial_age,0,,
peter_the_great,1,Monarch,"royalty,monarch"
beryllium,0,,
julia_kristeva,1,Philosopher,
zimbabwe,0,,
quantity_theory_of_money,0,,
placenta,0,,
emma,0,,
christopher_wren,1,Architect,"architecture,architect"
rise_and_fall_of_the_city_of_mahagonny,0,,
all_quiet_on_the_western_front,0,,
porfirio_diaz,0,,
charles_river,0,,
their_eyes_were_watching_god,0,,
cindy_sherman,1,Visual Artist,"visual art,visual artist"
dahomey,0,,
non-newtonian_fluid,0,,
mozambique,0,,
james_agee,1,Author,"book,author"
third_crusade,0,,
uncertainty_principle,0,,
john_sherman,1,U.S. Congressperson,"government,u s congressperson"
charles_sanders_peirce,1,Philosopher,
utilitarianism_(book),0,,
cellulose,0,,
neurofibromatosis_type_i,0,,
pressure,1,Musical Artist,"music,artist"
second_bank_of_the_united_states,0,,
nicene_creed,0,,
the_decay_of_the_angel,0,,
book_of_kells,0,,
wormwood_(bible),0,,
common_sense,0,,
burma,0,,
frontier_thesis,0,,
cell_membrane,0,,
axon,0,,
mormonism,0,,
channel_islands,0,,
reaction_rate,0,,
hatshepsut,1,Monarch,"royalty,monarch"
slovakia,0,,
gravitational_redshift,0,,
carbon_dioxide,0,,
the_count_of_monte_cristo,0,,
cleavage_furrow,0,,
battle_of_kings_mountain,0,,
christopher_columbus,1,Explorer,
quinine_total_synthesis,0,,
apollo,0,,
anton_bruckner,1,Composer,"music,composer"
georgia_o'keeffe,1,Painting Artist,
volga_river,0,,
reinforcement,0,,
flux_(metallurgy),0,,
john_coltrane,1,Bandleader,
baptism,0,,
orange_river,0,,
edward_elgar,1,Incidental Artist,
slime_mold,0,,
baffin_island,0,,
aristotle,1,Philosopher,
walpurgis_night,0,,
tristan_und_isolde,0,,
vitamin_k,0,,
germ_layer,0,,
sharia,0,,
vitamin_c,1,Alternative Artist,
vitamin_a,0,,
vitamin_d,1,Record Producer,"music,producer"
vitamin_e,0,,
geography_of_malawi,0,,
division_of_labour,0,,
fahrenheit_451,1,Film actor,"film,actor"
tintoretto,1,Painting Artist,
chemical_potential,0,,
sarah_siddons,1,Actor,
sublime_(philosophy),0,,
benedict_anderson,1,Author,"book,author"
the_poverty_of_historicism,0,,
eos,0,,
winnemac_(fictional_u.s._state),0,,
adam_bede_(character),0,,
realism_(international_relations),0,,
pecos_bill,0,,
tower_of_hanoi,0,,
protagoras_(dialogue),0,,
entropy,0,,
crete,0,,
federal_reserve_system,0,,
orpheus,0,,
heraclitus,1,Philosopher,
faust_(opera),0,,
electron_transport_chain,0,,
roger_williams_(theologian),1,Politician,"government,politician"
jean_cocteau,1,Novelist,
captain_marvel_(dc_comics),0,,
jacobus_henricus_van_'t_hoff,1,Chemist,
bellerophon,0,,
sunday_in_the_park_with_george,0,,
fafnir,0,,
gulliver's_travels_(miniseries),0,,
"henry_cabot_lodge,_jr.",1,U.S. Congressperson,"government,u s congressperson"
growth_hormone,0,,
mughal_empire,0,,
enigma_variations,0,,
cultural_revolution,0,,
triton_(moon),0,,
jamaica,0,,
chagas_disease,0,,
nuclear_binding_energy,0,,
ajax_(sophocles),0,,
battle_of_hastings,0,,
kaliningrad,0,,
meditation,0,,
john_locke,1,Philosopher,
active_galactic_nucleus,0,,
john_adams_(miniseries),1,US President,"government,us president"
amun,0,,
petra,0,,
the_feast_in_the_house_of_levi,0,,
chronicle_of_a_death_foretold,0,,
pluto,0,,
bangkok,0,,
weak_interaction,0,,
verbal_behavior,0,,
bruno_bettelheim,1,Psychologist,
second_temple,0,,
velocity_of_money,0,,
mannerism,0,,
wilhelm_rontgen,0,,
assyria,0,,
mount_fuji,0,,
falstaff_(opera),0,,
younger_dryas,0,,
honey_bee_pheromones,0,,
tydeus,0,,
sarah,0,,
in_the_mood_for_love,0,,
mystical_marriage_of_saint_catherine,0,,
les_huguenots,0,,
anaxagoras,1,Philosopher,
helmholtz_free_energy,0,,
indiana,0,,
sarah_bernhardt,1,Actor,
gerard_manley_hopkins,1,Poet,
curvature,0,,
democritus,1,Philosopher,
unam_sanctam,0,,
frederick_jackson_turner,1,Historian,
kabbalah,0,,
edward_hicks,1,Painting Artist,
human_genome_project,0,,
bertolt_brecht,1,Poet,
acetylcholine,0,,
satyagraha,0,,
mansfield_park,0,,
urea,0,,
foot_binding,0,,
franz_boas,1,Anthropologist,
masaccio,1,Painting Artist,
seaborgium,0,,
chiron,0,,
dyson_sphere,0,,
cancer_(constellation),0,,
patella,0,,
aryl_halide,0,,
harry_stack_sullivan,1,Psychiatrist,
alpha_particle,0,,
pseudo-dionysius_the_areopagite,1,Philosopher,
kenneth_arrow,1,Economist,
mackenzie_river,0,,
claude_shannon,1,Mathematician,
"absalom,_absalom!",0,,
federalist_papers,0,,
herbert_a._simon,1,Economist,
edict_of_nantes,0,,
epinephrine,0,,
ramadan,0,,
medusa,0,,
salmonella,0,,
hypnos,0,,
david_copperfield_(character),0,,
armory_show,0,,
huffman_coding,0,,
candide,0,,
acupuncture,0,,
electra,0,,
stegosaurus,0,,
collagen,0,,
the_rape_of_the_lock,0,,
giacomo_meyerbeer,1,Composer,"music,composer"
thomas_friedman,0,,
james_a._garfield,1,US President,"government,us president"
zeta_potential,0,,
python_(programming_language),0,,
oxygen,0,,
gini_coefficient,0,,
work_function,0,,
the_glass_menagerie,0,,
mie_scattering,0,,
hooke's_law,0,,
lactic_acid,0,,
battle_of_trenton,0,,
alkane,0,,
divine_right_of_kings,0,,
the_screwtape_letters,0,,
taliesin,1,Writer,
palm_islands,0,,
rem_koolhaas,1,Architect,"architecture,architect"
critique_of_practical_reason,0,,
binary_star,0,,
british_virgin_islands,0,,
clifford_geertz,1,Anthropologist,
parmenides_(dialogue),0,,
edith_wharton,1,,
max_ernst,1,Painting Artist,
molecular_orbital_theory,0,,
transfer_rna,0,,
david_(donatello),1,Religious Leader,"religion,religious leader"
transketolase,0,,
memristor,0,,
rick_warren,1,Pastor,
color_blindness,0,,
kiwi,0,,
interphase,0,,
the_world_as_will_and_representation,0,,
two-dimensional_nuclear_magnetic_resonance_spectroscopy,0,,
bystander_effect,0,,
toronto,0,,
flora_purim,1,Jazz fusion Artist,
alfred_dreyfus,1,Army officer,
paul_taylor_(choreographer),1,Organization founder,"organization,organization founder"
dave_brubeck,1,Bandleader,
vincent_van_gogh,1,Painting Artist,
auger_effect,0,,
horatio_gates,1,Politician,"government,politician"
league_of_nations,1,Musical Artist,"music,artist"
long_island,0,,
galileo_(spacecraft),0,,
elgin_marbles,0,,
executive_privilege,0,,
pilgrimage,0,,
william_henry_harrison,1,US President,"government,us president"
viscosity,0,,
kwame_nkrumah,1,Politician,"government,politician"
te_deum,0,,
lycidas,0,,
antidepressant,0,,
john_foster_dulles,1,U.S. Congressperson,"government,u s congressperson"
efficient-market_hypothesis,0,,
the_plague,0,,
parmenides,1,Philosopher,
grandma_moses,1,Painting Artist,
lucas_cranach_the_elder,1,Painting Artist,
chester_a._arthur,1,US President,"government,us president"
madeira,0,,
russell's_paradox,0,,
treaty_of_utrecht,0,,
consciousness,0,,
diomedes,0,,
pictures_at_an_exhibition,0,,
thelonious_monk,1,Bebop Artist,
josef_von_sternberg,1,Film director,"film,director"
earth's_magnetic_field,0,,
personality,0,,
fomalhaut,0,,
samuel_j._tilden,1,Politician,"government,politician"
ambrose_bierce,1,Novelist,
heimdallr,0,,
quantum_computer,0,,
the_wedding_at_cana,0,,
henry_hudson,1,Explorer,
the_work_of_art_in_the_age_of_mechanical_reproduction,0,,
angry_young_men,0,,
colloid,0,,
darling_river,0,,
abraham_maslow,1,Psychologist,
jorge_luis_borges,1,,
ludwig_van_beethoven,1,Violist,
erewhon,0,,
earl_warren,1,Jurist,
homestead_strike,0,,
common_sense_(pamphlet),0,,
electronvolt,0,,
salt_lake_city,0,,
draco_(constellation),0,,
aral_sea,0,,
metropolis_(1927_film),0,,
transcendentalism,0,,
alexander_kerensky,1,Politician,"government,politician"
i_ching,0,,
snow_country,0,,
agil_paradigm,0,,
dlvo_theory,0,,
orion_(mythology),0,,
emmanuel_chabrier,1,Composer,"music,composer"
carl_philipp_emanuel_bach,1,Composer,"music,composer"
carbene,0,,
stress_(biology),0,,
muhammad_ali_jinnah,1,Politician,"government,politician"
discipline_and_punish,0,,
magnetosphere,0,,
arms_and_the_man,0,,
dian_fossey,1,Academic,"education,academic"
cytochrome_c_oxidase,0,,
hermann_von_helmholtz,1,Physicist,
lawrencium,0,,
parthian_empire,0,,
william_wordsworth,1,Poet,
ivan_the_terrible,1,Monarch,"royalty,monarch"
"sickle_cell_anemia,_a_molecular_disease",0,,
carbanion,0,,
impromptus_(schubert),0,,
ophelia_(painting),0,,
rna_editing,0,,
columbia_river,0,,
carbonic_anhydrase,0,,
homo_erectus,0,,
loop_quantum_gravity,0,,
threshold_voltage,0,,
persepolis,0,,
mount_kinabalu,0,,
heinrich_hertz,1,Physicist,
cold_fusion,1,Musical Artist,"music,artist"
geography_of_ivory_coast,0,,
dagon,0,,
steppenwolf_(novel),0,,
decibel,1,Musical Artist,"music,artist"
gabriela_mistral,1,Diplomat,
lithium,0,,
pancho_villa,1,Military Commander,"military,military commander"
pierre_corneille,1,Dramatist,
meistersinger,0,,
chicago_school_of_economics,0,,
hysteresis,0,,
patagonia,0,,
apparent_magnitude,0,,
minkowski_space,0,,
vermont,0,,
myrrha,0,,
haruki_murakami,1,Novelist,
yenisei_river,0,,
fermilab,0,,
cisplatin,0,,
kali,1,Soccer Defender,
edmonton,0,,
conjugate_variables_(thermodynamics),0,,
brahmaputra_river,0,,
kublai_khan,1,Monarch,"royalty,monarch"
die_meistersinger_von_nurnberg,0,,
thyroid,0,,
cervix,0,,
transformer,0,,
sharpless_asymmetric_dihydroxylation,0,,
geography_of_switzerland,0,,
battle_of_caporetto,0,,
xibalba,0,,
phillis_wheatley,1,Writer,
calcium_signaling,0,,
calcium_carbonate,0,,
carboxylic_acid,0,,
david_lloyd_george,1,Politician,"government,politician"
vasco_da_gama,1,Explorer,
rip_van_winkle,1,Man,
gender_trouble,0,,
schenck_v._united_states,0,,
polarization_(waves),0,,
wuthering_heights,0,,
anaerobic_respiration,0,,
peking_man,0,,
dialogues_of_the_carmelites,0,,
denaturation_(biochemistry),0,,
problem_of_induction,0,,
criminology,0,,
emile_zola,0,,
second_boer_war,0,,
central_african_republic,0,,
aeneas,0,,
thomas_hardy,1,Novelist,
frame-dragging,0,,
spiro_agnew,1,US Vice President,"government,us vice president"
mithra,0,,
colorado_river,0,,
yerevan,0,,
octopus,0,,
the_overcoat,0,,
all_the_king's_men,0,,
tetanus,0,,
magnetic_field,0,,
aubrey_beardsley,1,Visual Artist,"visual art,visual artist"
olivier_messiaen,1,,
antonio_de_oliveira_salazar,0,,
john_the_baptist,1,Religious Leader,"religion,religious leader"
schwarzschild_radius,0,,
william_hogarth,1,Painting Artist,
treemonisha,0,,
prince_edward_island,0,,
new_guinea,0,,
kodiak_island,0,,
david_hilbert,1,Mathematician,
critique_of_judgment,0,,
basilica_of_san_francesco_d'assisi,0,,
first_epistle_to_the_thessalonians,0,,
papal_infallibility,0,,
priam,0,,
gene_conversion,0,,
paris_(mythology),0,,
isis,1,Post-metal Artist,
prospect_theory,0,,
aldol_reaction,0,,
john_dos_passos,1,Novelist,
khnum,0,,
twilight_of_the_idols,0,,
aorta,0,,
ezekiel,1,Religious Leader,"religion,religious leader"
caenorhabditis_elegans,0,,
claes_oldenburg,1,Sculpture Artist,
bodhisattva,0,,
the_subjection_of_women,0,,
samarkand,0,,
eddy_covariance,0,,
shrine,0,,
dna_replication,0,,
hans_island,0,,
cyclohexane,0,,
ordovician,0,,
the_gift_(book),0,,
haman_(biblical_figure),0,,
jacopo_della_quercia,1,Sculpture Artist,
alberto_giacometti,1,Painting Artist,
henry_cabot_lodge,0,,
saint_christopher,1,Deceased Person,"people,deceased person"
the_duchess_of_malfi,0,,
gonorrhea,0,,
el_greco,1,Painting Artist,
solar_wind,0,,
noise_(electronics),0,,
planck_constant,0,,
phosphorescence,0,,
mr._smith_goes_to_washington,0,,
work_(physics),0,,
green_algae,0,,
the_theory_of_moral_sentiments,0,,
idealism,0,,
"cry,_the_beloved_country",0,,
guggenheim_museum_bilbao,0,,
bubonic_plague,0,,
the_theory_of_communicative_action,0,,
monophysitism,0,,
jehovah's_witnesses,0,,
louis_daguerre,1,Physicist,
an_american_tragedy,0,,
on_liberty,0,,
stanley_kubrick,1,Film director,"film,director"
ezra,1,Man,
linus_pauling,1,Physicist,
aaron's_rod,1,Person,"people,person"
psycholinguistics,0,,
comparative_advantage,0,,
black_body,0,,
george_gamow,1,Physicist,
giacomo_leopardi,1,Philosopher,
battle_of_salamis,0,,
symphony_in_d_minor_(bruckner),0,,
johann_wolfgang_von_goethe,1,Novelist,
dawes_plan,0,,
little_albert_experiment,0,,
parkinson's_disease,0,,
ebola_virus,0,,
madonna_of_chancellor_rolin,0,,
margaret_atwood,1,Novelist,
herbert_marcuse,1,Philosopher,
strontium,0,,
dubliners,0,,
mapp_v._ohio,0,,
winslow_homer,1,Painting Artist,
boxer_rebellion,0,,
yemen,0,,
anti-masonic_party,0,,
tasmanian_devil,0,,
montreal,0,,
mount_whitney,0,,
l'orfeo,0,,
activation_energy,0,,
adolf_hitler,1,Military Commander,"military,military commander"
triple_point,0,,
livy,1,Historian,
igbo_people,0,,
charles_dickens,1,Novelist,
madelung_constant,0,,
driftless_area,0,,
report_on_manufactures,0,,
gustav_fechner,1,Psychologist,
caroline_affair,0,,
as_you_like_it,0,,
rogier_van_der_weyden,1,Painting Artist,
zirconium,0,,
les_demoiselles_d'avignon,0,,
wien's_displacement_law,0,,
arabidopsis_thaliana,0,,
heart,0,,
black_hawk_war,0,,
gymnosperm,0,,
galen,1,Philosopher,
gehenna,0,,
dante_alighieri,1,Statesman,
battle_of_actium,0,,
ahab,1,Man,
dialysis,0,,
karl_popper,1,Philosopher,
nihilism,0,,
kullervo,0,,
uric_acid,0,,
kamakura_shogunate,0,,
nanook_of_the_north,0,,
otto_hahn,1,Chemist,
magnetic_flux,0,,
corona,0,,
deconstruction,0,,
siena_cathedral,0,,
palm_sunday,0,,
nitrogen,0,,
ruslan_and_lyudmila_(opera),0,,
bipolar_junction_transistor,0,,
the_magic_mountain,0,,
dead_souls,0,,
nitric_acid,0,,
toru_takemitsu,0,,
hydrogenation,0,,
seagram_building,0,,
the_burial_of_the_count_of_orgaz,0,,
filippino_lippi,1,Painting Artist,
yama,0,,
a_sunday_afternoon_on_the_island_of_la_grande_jatte,0,,
corpus_callosum,0,,
solubility,0,,
philoctetes,0,,
liberal_paradox,0,,
terry_riley,1,Minimalist Artist,
marcel_proust,1,Novelist,
concerto,0,,
the_concept_of_law,0,,
anthony_burgess,1,Novelist,
eugene_o'neill,1,Dramatist,
john_cage,1,20th century classical Artist,
santa_catalina_mountains,0,,
langston_hughes,1,Novelist,
ambrose_burnside,1,Military Commander,"military,military commander"
stockholm,0,,
nematode,0,,
barry_goldwater,1,U.S. Congressperson,"government,u s congressperson"
richard_wagner,1,Composer,"music,composer"
cairo,0,,
anubis,0,,
pareto_efficiency,0,,
ghrelin,0,,
vendidad,0,,
nicolaou_taxol_total_synthesis,0,,
the_seagull,0,,
songs_without_words,0,,
bioko,0,,
pale_fire,0,,
the_art_of_fugue,0,,
sister_carrie,0,,
consumer_price_index,0,,
existentialism,0,,
wassily_kandinsky,1,Painting Artist,
quark,0,,
conservative_judaism,0,,
palazzo_pitti,0,,
public_sphere,0,,
sublimation_(phase_transition),0,,
imhotep,1,Deity,"religion,deity"
amino_acid,0,,
magnetic_potential,0,,
lady_gaga,1,Celebrity,"celebrities,celebrity"
toulouse,0,,
the_nightingale_(fairy_tale),0,,
jean-baptiste-camille_corot,0,,
myasthenia_gravis,0,,
pittsburgh,0,,
stephen_langton,1,Deceased Person,"people,deceased person"
on_the_jewish_question,0,,
prometheus,1,Musical Artist,"music,artist"
marvin_harris,1,Anthropologist,
uracil,0,,
baldr,0,,
semantics,0,,
robert_frost,1,Dramatist,
entropy_(information_theory),0,,
andreas_vesalius,1,Physician,"medicine,physician"
bronislaw_malinowski,0,,
photosynthesis,1,Composer,"music,composer"
hydrogen_bond_catalysis,0,,
chlorophyll,0,,
loki,0,,
lascaux,0,,
gingivitis,0,,
lake_tanganyika,0,,
samuel_pepys,1,Author,"book,author"
kvasir,0,,
fomorians,0,,
gangrene,0,,
great_leap_forward,0,,
olmec,0,,
angkor_wat,0,,
shark,0,,
the_phenomenology_of_spirit,0,,
reichstag_building,0,,
hydrogen_cyanide,0,,
the_turn_of_the_screw,0,,
timaeus_(dialogue),0,,
george_akerlof,1,Economist,
f._scott_fitzgerald,1,Novelist,
tooth,0,,
abraham,1,Prophet,
light-emitting_diode,0,,
fourth_crusade,0,,
donatism,0,,
lateran_treaty,0,,
balthus,1,Painting Artist,
ariadne_auf_naxos,0,,
samhain,0,,
maine,0,,
proxima_centauri,0,,
george_orwell,1,Novelist,
cannon,0,,
samuel,1,Prophet,
oklahoma!,0,,
an_american_dilemma,0,,
canadian_shield,0,,
pietro_da_cortona,1,Painting Artist,
pamir_mountains,0,,
overtures_by_hector_berlioz,0,,
etching_(microfabrication),0,,
wallonia,0,,
"arthur_wellesley,_1st_duke_of_wellington",1,Military Commander,"military,military commander"
howards_end,0,,
limpopo_river,0,,
zebrafish,0,,
posttraumatic_stress_disorder,0,,
quantum_entanglement,0,,
chaperone_(protein),0,,
snowy_mountains,0,,
hajj,0,,
tooth_enamel,0,,
lupercalia,0,,
kisangani,0,,
arkansas_river,0,,
hull_house,0,,
louis_kahn,1,Professor,
pure_land_buddhism,0,,
ptah,0,,
immaculate_conception,0,,
amine,1,Rhythm and blues Artist,
hercules_(constellation),0,,
green_fluorescent_protein,0,,
neurogenesis,0,,
oder,0,,
james_baldwin,1,Novelist,
the_sound_and_the_fury,0,,
henry_clay,1,U.S. Congressperson,"government,u s congressperson"
information_asymmetry,0,,
the_birth_of_tragedy,0,,
chaos_theory,0,,
sediment_transport,0,,
monadology,0,,
photosystem_ii,0,,
seven_against_thebes,0,,
maurice_merleau-ponty,1,Philosopher,
andaman_islands,0,,
pergamon_altar,0,,
vagueness,0,,
bhagavad_gita,0,,
celts,0,,
uriah_the_hittite,1,Person Or Being In Fiction,"fictional universe,person in fiction"
action_at_a_distance,0,,
the_sickness_unto_death,0,,
polymer,0,,
the_deposition_(raphael),0,,
topoisomerase,0,,
fuel_cell,0,,
dative_case,0,,
khalsa,0,,
helium,0,,
henry_david_thoreau,1,Philosopher,
ubiquitin,0,,
saint_stephen,1,Deceased Person,"people,deceased person"
speed_of_sound,0,,
glengarry_glen_ross,0,,
paolo_veronese,1,Painting Artist,
dining_philosophers_problem,0,,
zyklon_b,0,,
"nude_descending_a_staircase,_no._2",0,,
american_gothic,0,,
valence_band,0,,
marcus_garvey,1,Organization founder,"organization,organization founder"
fruit,0,,
lewis_carroll,1,Novelist,
carl_sandburg,1,Novelist,
roger_casement,1,Military Person,"military,military person"
poetics_(aristotle),0,,
glomerulus,0,,
chemotaxis,0,,
neon,0,,
emile_durkheim,0,,
taklamakan_desert,0,,
werner_herzog,1,Film director,"film,director"
momentum,0,,
allan_bloom,1,Philosopher,
the_library_of_babel,0,,
battle_of_chancellorsville,0,,
la_brea_tar_pits,0,,
kepler's_laws_of_planetary_motion,0,,
debye_model,0,,
the_imitation_of_christ,0,,
gas_chromatography,0,,
weaving_(mythology),0,,
goldberg_variations,0,,
boston_massacre,0,,
book_of_isaiah,0,,
beyond_freedom_and_dignity,0,,
jude_the_obscure,0,,
hepatitis,0,,
uncle_tom's_cabin,0,,
cherenkov_radiation,0,,
richard_wright_(author),1,Novelist,
judy_chicago,1,Painting Artist,
wheat,0,,
jusepe_de_ribera,1,Painting Artist,
seine,0,,
waldensians,0,,
in_a_different_voice,0,,
xanthophyll,0,,
stimulated_emission,0,,
ontology,0,,
rosh_hashanah,0,,
hadron,0,,
aphrodite,1,Musical Artist,"music,artist"
ethan_frome,0,,
ideology,0,,
acts_of_the_apostles,0,,
roche_limit,0,,
antibody,0,,
bantustan,0,,
st_matthew_passion,0,,
redshift,0,,
mark_the_evangelist,1,Writer,
the_village_(the_prisoner),0,,
indira_gandhi,1,Politician,"government,politician"
reinhold_niebuhr,1,Theologian,
ares,1,Man,
costa_rica,0,,
eros_and_civilization,0,,
miguel_angel_asturias,0,,
colon_(anatomy),0,,
a_dance_to_the_music_of_time_(painting),0,,
lymph,0,,
groundwork_of_the_metaphysic_of_morals,0,,
aneurysm,0,,
mobutu_sese_seko,1,Politician,"government,politician"
prague_spring,0,,
mahavira,1,Religious Leader,"religion,religious leader"
stigmata,1,Musician,
nero,1,Roman Emperor,
michael_reaction,0,,
chemical_equilibrium,0,,
james_fenimore_cooper,1,Novelist,
irrawaddy_river,0,,
